CarName,wheelbase,carlength,carwidth,carheight,curbweight,doornumber,cylindernumber,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price
Audi,93.7,156.9,63.4,53.7,2050,2,4,97,3.62,2.36,9,69,4900,31,36,5118
Audi,88.4,141.1,60.3,53.2,1488,2,3,61,2.91,3.03,9.5,48,5100,47,53,5151
Audi,93.1,159.1,64.2,54.1,1890,2,4,91,3.03,3.15,9,68,5000,30,31,5195
Audi,95.7,158.7,63.6,54.5,1985,2,4,92,3.05,3.03,9,62,4800,35,39,5348
Audi,93.7,157.3,64.4,50.8,1918,2,4,92,2.97,3.23,9.4,68,5500,37,41,5389
Audi,93.7,150,64,52.6,1837,2,4,79,2.91,3.07,10.1,60,5500,38,42,5399
Audi,94.5,165.3,63.8,54.5,1889,2,4,97,3.15,3.29,9.4,69,5200,31,37,5499
Audi,93.7,157.3,63.8,50.8,1876,2,4,90,2.97,3.23,9.41,68,5500,37,41,5572
Audi,93.7,157.3,63.8,50.8,1918,2,4,90,2.97,3.23,9.4,68,5500,37,41,5572
Audi,93.1,159.1,64.2,54.1,1900,2,4,91,3.03,3.15,9,68,5000,31,38,6095
Audi,93.7,157.3,64.4,50.8,1944,2,4,92,2.97,3.23,9.4,68,5500,31,38,6189
Audi,93.7,157.3,63.8,50.6,1967,4,4,90,2.97,3.23,9.4,68,5500,31,38,6229
Audi,93.7,157.3,63.8,50.6,1967,4,4,90,2.97,3.23,9.4,68,5500,31,38,6229
Audi,94.5,155.9,63.6,52,1874,2,4,90,3.03,3.11,9.6,70,5400,38,43,6295
Audi,95.7,158.7,63.6,54.5,2040,2,4,92,3.05,3.03,9,62,4800,31,38,6338
Audi,93.7,157.3,63.8,50.8,1876,2,4,90,2.97,3.23,9.4,68,5500,31,38,6377
Audi,86.6,144.6,63.9,50.8,1713,2,4,92,2.91,3.41,9.6,58,4800,49,54,6479
Audi,95.7,158.7,63.6,54.5,2015,4,4,92,3.05,3.03,9,62,4800,31,38,6488
Audi,93.7,150,64,52.6,1940,2,4,92,2.91,3.41,9.2,76,6000,30,34,6529
Audi,94.5,158.8,63.6,52,1909,4,4,90,3.03,3.11,9.6,70,5400,38,43,6575
